id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
1018,Mulholland Drive,None,"Blonde Betty Elms has only just arrived in Hollywood to become a movie star when she meets an enigmatic brunette with amnesia. Meanwhile, as the two set off to solve the second woman's identity, filmmaker Adam Kesher runs into ominous trouble while casting his latest project.",2001-06-06,7.8,6579,/x7A59t6ySylr1L7aubOQEA480vM.jpg,en,"['Naomi Watts', 'Laura Harring', 'Justin Theroux']",David Lynch
48311,Parasite,None,"Paul Dean has created a deadly parasite that is now attached to his stomach. He and his female companion, Patricia Welles, must find a way to destroy it while also trying to avoid Ricus & his rednecks, and an evil government agent named Merchant.",1982-03-12,4.8,76,/4DGPORlVIDIQvsuSDnM4uXKMjWS.jpg,en,"['Robert Glaudini', 'Demi Moore', 'Luca Bercovici']",Charles Band
7345,There Will Be Blood,None,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",2007-12-26,8.072,6889,/nuZDiX8okojcwkStdaMjA9LUQAT.jpg,en,"['Daniel Day-Lewis', 'Paul Dano', ""Kevin J. O'Connor""]",Paul Thomas Anderson
376867,Moonlight,None,"The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",2016-10-21,7.37,7223,/rcICfiL9fvwRjoWHxW8QeroLYrJ.jpg,en,"['Trevante Rhodes', 'André Holland', 'Janelle Monáe']",Barry Jenkins
6977,No Country for Old Men,None,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",2007-06-13,7.947,12493,/6d5XOczc226jECq0LIX0siKtgHR.jpg,en,"['Javier Bardem', 'Tommy Lee Jones', 'Josh Brolin']",Joel Coen
843,花樣年華,None,"In 1962 Hong Kong, neighbors Su Li-zhen (Mrs. Chan) and Chow Mo-wan (Mr. Chow) discover their spouses are having an affair. As they spend time together, they develop feelings for each other, but their relationship remains chaste and unspoken, reflecting societal constraints and their own moral compass.",2000-09-29,8.101,2976,/8BgGbbWiLNhPtkMkN0gGTnbtvBv.jpg,cn,"['Maggie Cheung', 'Tony Leung', 'Rebecca Pan']",Wong Kar-wai
419430,Get Out,None,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",2017-02-24,7.619,17988,/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg,en,"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener']",Jordan Peele
129,千と千尋の神隠し,None,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,8.537,17297,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,ja,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",Hayao Miyazaki
9693,Children of Men,None,"In 2027, in a chaotic world in which humans can no longer procreate, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea, where her child's birth may help scientists save the future of humankind.",2006-09-22,7.61,7364,/8Xgvmx7WWc7Z9Ws9RAYk7uya2kh.jpg,en,"['Clive Owen', 'Clare-Hope Ashitey', 'Chiwetel Ejiofor']",Alfonso Cuarón
38,Eternal Sunshine of the Spotless Mind,None,"Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.",2004-03-19,8.1,15564,/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg,en,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']",Michel Gondry
