id,title,genre_ids,overview,release_date,vote_average,vote_count,poster_path,original_language,cast,director
278,The Shawshank Redemption,,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,8.712,28558,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,en,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton']",Frank Darabont
238,The Godfather,,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,8.687,21626,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,en,"['Marlon Brando', 'Al Pacino', 'James Caan']",Francis Ford Coppola
803796,KPop Demon Hunters,,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",2025-06-20,8.576,666,/jfS5KEfiwsS35ieZvdUdJKkwLlZ.jpg,en,"['Arden Cho', 'May Hong', 'Ji-young Yoo']",Chris Appelhans
240,The Godfather Part II,,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",1974-12-20,8.571,13059,/hek3koDUyRQk7FIhPXsa6mT2Zc3.jpg,en,"['Al Pacino', 'Robert Duvall', 'Diane Keaton']",Francis Ford Coppola
424,Schindler's List,,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.,1993-12-15,8.566,16549,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg,en,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",Steven Spielberg
389,12 Angry Men,,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",1957-04-10,8.6,9254,/ow3wq89wM8qd5X7hWKxiRfsFf9C.jpg,en,"['Martin Balsam', 'John Fiedler', 'Lee J. Cobb']",Sidney Lumet
129,千と千尋の神隠し,,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",2001-07-20,8.537,17284,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,ja,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",Hayao Miyazaki
155,The Dark Knight,,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",2008-07-16,8.5,34082,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,en,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']",Christopher Nolan
19404,दिलवाले दुल्हनिया ले जायेंगे,,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,8.517,4497,/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,hi,"['Kajol', 'Shah Rukh Khan', 'Amrish Puri']",Aditya Chopra
497,The Green Mile,,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,8.504,18211,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,en,"['Tom Hanks', 'David Morse', 'Bonnie Hunt']",Frank Darabont
496243,기생충,,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",2019-05-30,8.499,19248,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,ko,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",Bong Joon Ho
680,Pulp Fiction,,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",1994-09-10,8.489,28857,/vQWk5YBFWF4bZaofAbv0tShwBvQ.jpg,en,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",Quentin Tarantino
122,The Lord of the Rings: The Return of the King,,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",2003-12-17,8.488,25256,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,en,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen']",Peter Jackson
372058,君の名は。,,"High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",2016-08-26,8.483,11864,/q719jXXEzOoYaps6babgKnONONX.jpg,ja,"['Ryunosuke Kamiki', 'Mone Kamishiraishi', 'Ryo Narita']",Makoto Shinkai
